,1st_set
0,0.3317307692307692
1,0.6682692307692307
2,1.0
3,0.1346153846153846
4,0.32211538461538464
5,0.5048076923076923
6,0.125
7,0.23076923076923075
8,0.3557692307692308
9,0.2932692307692307
10,0.40865384615384615
11,0.5288461538461539
12,0.16346153846153846
13,0.40865384615384615
14,0.43749999999999994
15,0.22596153846153846
16,0.20673076923076922
17,0.40865384615384615
18,0.125
19,0.28365384615384615
20,0.38942307692307687
21,0.16826923076923075
22,0.3413461538461538
23,0.5144230769230769
24,0.11057692307692306
25,0.16826923076923075
26,0.25
27,0.04326923076923077
28,0.09134615384615384
29,0.1346153846153846
30,0.15384615384615385
31,0.21153846153846154
32,0.2644230769230769
33,0.0625
34,0.07211538461538461
35,0.09615384615384615
36,0.05769230769230769
37,0.1346153846153846
38,0.1875
39,0.3317307692307692
40,0.47115384615384615
41,0.5048076923076923
42,0.15384615384615385
43,0.22596153846153846
44,0.1778846153846154
45,0.20192307692307693
46,0.2692307692307692
47,0.44230769230769224
48,0.4182692307692307
49,0.5336538461538461
50,0.7163461538461539
51,0.27403846153846156
52,0.3365384615384615
53,0.4567307692307692
54,0.16346153846153846
55,0.3125
56,0.41346153846153844
57,0.19711538461538458
58,0.2932692307692307
59,0.25
60,0.16826923076923075
61,0.16346153846153846
62,0.25961538461538464
63,0.04326923076923077
64,0.0625
65,0.07211538461538461
